Well,KH,KV,PhiH,PhiF,So,Sw,Grain_Density gm per cc
QSR-27,145.0397688,,0.198373725,0.173648478,0.011103044,0.832728294,2.68
QSR-27,205.9974907,34.28782582,0.210179912,0.21503984,0,0.839584107,2.67
QSR-27,1.686886751,,0.150576723,0.037183678,0.054071344,0.270356722,2.68
QSR-27,0.688498816,,0.120293513,0.153096862,0,0.860465116,2.8
QSR-27,1.299416628,0.16967284,0.163109702,0.019697958,0,0.104922924,2.69
QSR-27,1.009214496,,0.160854695,0.162424351,0.012083815,0.785448001,2.67
QSR-27,4.146308395,,0.171860994,0.152853672,0.0125883,0.755297995,2.67
QSR-27,26.04870007,0.200754829,0.166682804,0.149782024,0.032775495,0.760391475,2.66
QSR-16,0.004,,0.01,0.02,0,0.07,2.71
QSR-16,,,0.04,0.06,0.04,0.72,2.71
QSR-16,,0.006,0.1,0.02,0,0.07,2.73
QSR-16,,,,,,,
QSR-16,,,0.14,0.09,0.08,0.78,2.66
QSR-16,,1.595,0.15,0.09,0.02,0.75,2.68
QSR-16,0.496,,0.25,0.22,0.06,0.73,2.69
QSR-16,,,,0.22,0.02,0.87,
QSR-16,3.584,0.239,0.25,0.2,0.06,0.79,2.74
QSR-16,0.835,,0.24,0.19,0.06,0.82,2.68
QSR-16,0.31,,0.2,0.2,0.07,0.69,2.67
QSR-16,0.197,0.171,0.21,0.16,0.06,0.79,2.69
QSR-16,0.59,,0.22,0.25,0.05,0.78,2.8
QSR-16,1.254,,0.19,0.1,0.09,0.59,2.67
QSR-16,0.319,0.22,0.19,0.13,0,0.77,2.69
QSR-16,0.721,,0.24,0.19,0.04,0.75,2.68
QSR-16,8.208,,0.13,0.1,0.02,0.81,2.68
QSR-16,0.05,0.016,0.16,0.12,0,0.82,2.69
QSR-16,,,,0.09,0,0.82,
QSR-16,1.302,,0.15,0.19,0.01,0.82,2.72
QSR-16,,0.242,0.13,0.17,0.01,0.86,2.68
QSR-16,0.298,,0.06,0.12,0,0.57,2.71
QSR-16,0.433,,0.11,0.15,0,0.91,2.74
QSR-16,,,,,,,
QSR-16,,,,,,,
QSR-16,,,,,,,
QSR-16,,,,,,,
QSR-16,,,,,,,
QSR-16,,,,,,,
QSR-16,,0.233,0.1,0.14,0,0.84,2.73
QSR-16,,,,0.12,0,0.82,
QSR-16,,,,,,,
QSR-16,11.729,1.239,0.12,0.12,0,0.82,2.73
QSR-16,5.186,,0.11,0.14,0,0.88,2.74
QSR-16,1.725,,0.1,0.12,0,0.86,2.76
QSR-16,2.72,,0.17,0.17,0.11,0.51,2.91
QSR-16,15.216,,0.18,0.21,0.1,0.6,2.71
